 	Profile_Slice_1	Profile_Slice_2	Profile_Slice_3	Profile_Slice_4	Profile_Slice_5	Profile_Slice_6	Profile_Slice_7	Profile_Slice_8	Profile_Slice_9	Profile_Slice_10	Profile_Slice_11	Profile_Slice_12	Profile_Slice_13	Profile_Slice_14	Profile_Slice_15	Profile_Slice_16	Profile_Slice_17
172	279.393	279.393	277.215	270.106	262.298	267.703	268.321	272.468	275.939	277.608	278.644	279.387	268.786	276.062	267.759	277.347	282.819
173	283.288	283.288	282.105	278.708	263.322	272.235	257.906	254.829	267.863	273.958	273.455	266.780	266.301	269.196	275.469	283.720	275.567
174	273.007	273.007	267.930	278.339	274.888	265.161	255.877	262.352	263.880	285.883	278.004	275.778	279.774	268.851	266.428	266.337	271.862
175	274.638	274.638	274.762	272.256	273.770	263.271	264.305	272.711	271.423	277.746	275.308	279.450	273.633	273.591	266.509	265.919	266.468
176	269.154	269.154	277.822	272.790	269.667	263.899	256.748	272.068	271.690	266.704	268.082	261.605	261.104	269.555	266.096	267.111	269.871
177	279.027	279.027	265.891	258.661	262.520	267.577	253.681	262.148	269.890	273.163	261.943	272.667	262.376	269.156	268.307	265.803	283.937
178	274.372	274.372	267.305	269.719	255.739	264.720	259.473	264.133	272.558	269.146	260.590	272.512	257.203	270.714	260.224	265.525	267.642
179	264.693	264.693	272.166	261.604	267.993	260.154	258.230	256.723	265.643	265.605	265.405	264.865	252.157	264.365	265.807	263.723	259.524
180	268.396	268.396	270.085	263.293	262.645	257.660	252.530	251.851	262.392	262.586	261.993	263.576	253.604	263.854	258.340	258.186	266.920
181	270.003	270.003	265.357	258.408	263.784	259.764	259.768	253.960	255.420	255.293	256.112	262.833	259.428	250.697	255.119	254.963	265.596
182	258.465	258.465	254.008	252.475	251.081	259.803	256.374	255.781	260.759	251.187	259.886	259.306	255.867	259.406	260.588	251.987	255.284
