;cell type;cell subtype;bead type;drug;substrate;compNum;EChadwick;H0Chadwick;surroundingThickness;ctFieldThickness
352;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;13;6620.846778470822;205.12238568702284;148.59030841223512;116.16324088376496
353;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;14;6464.301715150769;180.03784857801665;122.1194543012998;116.16324088376496
354;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;15;9783.045488564854;144.15100497265763;103.83244179303485;116.16324088376496
355;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;1;4370.785527624261;602.3205653340397;501.3246754462898;488.6104722699001
356;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;2;3468.615514930921;707.5738576255823;562.8413806859253;488.6104722699001
357;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;3;5815.787877254831;681.5748980312468;591.3640350299697;488.6104722699001
358;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;4;1894.512241737476;890.4534858360265;691.96100190575;488.6104722699001
359;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;5;6229.85301404296;689.8439509027763;603.0769828608895;488.6104722699001
360;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;6;6553.197531886823;566.7119747215386;484.5242639980552;488.6104722699001
361;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;7;5244.79009523661;519.7892773861324;448.49706060200015;488.6104722699001
362;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;8;3981.515616066955;560.7218975905319;448.39118523865;488.6104722699001
363;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;9;7628.1772635952575;493.013769417167;427.3070732033302;488.6104722699001
364;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;10;5704.278973532523;515.7698330953722;433.5872055892396;488.6104722699001
365;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;11;9499.697862013016;422.4858435978228;387.4608073680552;488.6104722699001
366;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;12;7171.069623031848;474.1474640857742;414.5971682301201;488.6104722699001
367;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;13;11574.825814743142;566.7694246349715;504.5818134309902;488.6104722699001
368;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;14;6176.569647195602;547.3679446619062;476.4955010970703;488.6104722699001
369;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;15;7185.035516416253;608.7162370321264;528.9708630105101;488.6104722699001
370;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;1;12044.5446558267;271.3820426528967;237.3808073077253;153.6524701244898
371;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;2;10557.940532448918;267.3318423349192;205.15154719884504;153.6524701244898
372;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;9;13264.649264877437;185.29686931400605;156.78910607859007;153.6524701244898
373;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;17;46630.82198869415;152.73490443889344;147.81256768252024;153.6524701244898
374;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;1;40193.194517198615;232.95980619716065;190.69792610243485;192.64755285402
375;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;3;23345.74153716128;250.90777049022088;187.07106555162;192.64755285402
376;3T3;aSFL;M450;doxycyclin;20um fibronectin discs;8;44823.833676972936;221.31448843656867;209.88989224857005;192.64755285402
377;3T3;aSFL;M450;none;20um fibronectin discs;1;5088.719215597139;352.1808169102797;274.78034306731524;327.4101718840202
378;3T3;aSFL;M450;none;20um fibronectin discs;3;4811.17223722399;383.1992643816371;294.66360910706;327.4101718840202
379;3T3;aSFL;M450;none;20um fibronectin discs;4;2873.3498677163857;443.8823757957954;337.0607370653447;327.4101718840202
380;3T3;aSFL;M450;none;20um fibronectin discs;5;5670.530799940293;406.98303050960686;300.23948605644;327.4101718840202
381;3T3;aSFL;M450;none;20um fibronectin discs;6;6581.760493038023;428.29552109633306;344.09665663726537;327.4101718840202
382;3T3;aSFL;M450;none;20um fibronectin discs;1;4888.379759727914;405.951081809736;325.36767663308;320.52564105183046
383;3T3;aSFL;M450;none;20um fibronectin discs;2;4815.862720940242;406.826510780765;337.6115891601703;320.52564105183046
384;3T3;aSFL;M450;none;20um fibronectin discs;3;4129.604635360315;377.9231106944474;309.67622995067995;320.52564105183046
385;3T3;aSFL;M450;none;20um fibronectin discs;4;7271.100054642273;329.76576362382855;288.33863150452544;320.52564105183046
386;3T3;aSFL;M450;none;20um fibronectin discs;5;4327.701462646675;386.86076711899983;308.5905561813252;320.52564105183046
387;3T3;aSFL;M450;none;20um fibronectin discs;6;4107.020157292584;387.2098878241012;310.7182896782101;320.52564105183046
388;3T3;aSFL;M450;none;20um fibronectin discs;7;8990.127190445995;347.2155065492522;305.63608359198497;320.52564105183046
389;3T3;aSFL;M450;none;20um fibronectin discs;8;11863.249141099051;450.2080622217434;303.42894508736026;320.52564105183046
390;3T3;aSFL;M450;none;20um fibronectin discs;9;8585.394934126032;405.2971409107021;339.1655145865402;320.52564105183046
391;3T3;aSFL;M450;none;20um fibronectin discs;10;8037.462571127165;412.1208532786584;335.0345165327749;320.52564105183046
